Temperature_C,Time_hours,pH,Enzyme_mL,Substrate_gL,Inoculum_mL,Biofuel_Yield_gL
34.0,65.1,5.66,28.7,192.6,9.6,5.81
33.3,64.8,5.48,13.1,105.7,8.8,5.0
36.5,47.7,5.48,13.9,95.8,8.5,5.0
37.6,29.7,5.54,15.1,75.9,5.0,5.0
37.3,31.2,5.49,11.8,89.8,5.7,5.0
32.9,77.8,5.61,19.9,125.3,5.0,5.0
34.2,55.1,5.19,27.5,175.7,5.0,5.0
35.8,50.9,5.25,12.3,92.6,5.0,5.0
37.4,44.2,4.71,10.0,73.7,5.0,5.0
33.8,46.9,5.17,11.0,90.8,8.9,5.0
34.5,92.2,5.68,13.3,65.1,7.6,5.0
32.2,46.2,5.52,32.3,189.0,13.3,12.14
32.0,27.9,5.02,21.4,180.9,5.0,5.0
37.0,79.2,5.1,13.1,96.3,20.0,13.03
38.4,49.3,5.45,10.0,87.0,7.6,5.0
34.8,55.5,5.22,31.9,185.8,5.0,5.0
37.5,96.0,5.2,10.0,50.3,5.0,5.0
35.9,54.0,5.35,32.0,140.1,6.6,6.45
33.4,63.1,5.17,29.2,187.4,7.1,5.83
35.9,30.3,5.51,24.9,126.3,5.0,5.0
38.8,48.9,5.33,10.0,50.4,7.5,5.0
34.9,74.1,5.52,12.5,82.8,5.0,5.0
38.9,25.1,5.47,31.3,188.4,6.1,5.0
30.0,60.4,5.6,10.0,52.6,5.0,5.0
37.1,57.4,5.56,16.5,109.2,5.0,5.0
35.2,55.7,5.51,30.5,168.5,10.9,9.83
34.3,91.7,5.43,24.7,175.7,5.0,5.0
35.2,64.5,5.51,14.0,121.6,6.6,5.0
30.0,96.0,5.58,21.7,84.9,5.0,5.0
34.5,33.2,5.53,15.1,140.0,5.0,5.0
35.9,58.4,5.88,14.2,89.6,5.0,5.0
38.7,57.0,5.33,10.0,88.3,5.0,5.0
33.7,32.0,4.93,21.0,171.1,5.0,5.0
33.0,88.1,5.28,14.7,73.1,14.1,6.29
33.7,96.0,5.49,10.0,50.8,7.0,5.0
37.3,54.1,5.49,17.1,100.5,5.6,5.0
35.8,70.3,5.34,10.0,123.6,8.4,5.0
33.7,57.0,5.07,25.9,155.8,5.0,5.0
36.3,38.2,5.51,21.5,167.2,5.0,5.0
35.2,24.0,5.09,13.0,149.5,5.6,5.0
37.4,38.4,5.73,31.0,144.0,5.0,5.0
33.2,27.2,5.32,25.5,149.9,5.0,5.0
34.2,96.0,5.56,14.7,90.7,8.2,5.0
34.0,51.5,5.35,22.4,107.4,5.0,5.0
31.3,45.9,4.93,22.6,142.5,5.0,5.0
35.7,85.2,5.17,10.0,59.8,5.0,5.0
35.7,31.2,5.39,13.3,94.3,8.2,5.0
35.0,37.2,5.02,13.3,111.0,5.0,5.0
34.4,56.5,5.79,17.0,130.0,5.0,5.0
31.5,91.3,5.42,12.2,123.0,5.4,5.0
33.9,70.2,5.47,18.8,157.7,6.3,5.0
34.1,61.8,5.68,22.6,121.0,5.0,5.0
33.0,56.8,5.39,29.5,185.6,5.0,5.0
34.6,66.7,5.57,13.5,107.0,11.8,5.0
36.0,60.4,5.0,14.2,128.8,9.1,5.0
39.7,32.6,5.65,10.0,50.5,12.3,5.0
35.4,55.9,5.08,10.0,96.6,6.3,5.0
35.6,31.9,5.33,27.6,180.0,5.4,5.0
34.8,56.9,5.5,19.7,100.0,5.0,5.0
30.2,42.9,5.66,25.0,88.0,11.6,5.0
34.9,96.0,5.53,14.2,131.5,5.0,5.0
35.2,53.5,5.56,13.8,61.8,5.0,5.0
40.0,27.1,5.38,15.9,129.7,5.3,5.0
34.5,51.1,5.59,10.0,95.5,7.0,5.0
35.8,70.8,5.53,10.5,107.5,5.0,5.0
34.9,96.0,5.17,26.0,168.7,5.0,5.0
32.1,40.7,5.56,17.7,149.3,5.0,5.0
37.9,24.7,5.17,14.5,116.9,5.0,5.0
36.9,82.1,5.46,18.3,136.6,5.0,5.0
37.0,27.4,5.76,21.1,165.0,7.1,5.0
32.7,43.9,5.57,20.2,161.9,8.6,5.0
38.5,48.0,5.49,10.0,77.8,16.3,6.57
31.5,52.7,5.45,14.7,95.1,7.1,5.0
36.5,77.1,5.36,15.7,102.2,5.0,5.0
40.0,38.8,4.91,10.0,78.1,5.0,5.0
32.5,47.6,5.46,10.0,51.8,5.0,5.0
33.6,54.2,5.57,18.4,76.1,7.6,5.0
35.2,58.8,5.07,25.8,171.2,8.2,6.03
33.7,57.3,5.51,26.4,131.9,10.1,6.14
31.1,67.9,5.59,26.4,101.2,5.0,5.0
35.2,83.3,5.04,33.8,141.3,6.4,5.99
32.3,66.4,5.65,18.2,161.0,8.3,5.0
36.2,68.5,5.07,10.0,103.2,10.8,5.14
32.7,24.8,5.22,15.8,119.9,9.5,5.0
38.9,56.0,5.25,10.0,59.6,7.5,5.0
33.0,69.4,5.42,28.9,139.6,8.3,5.34
34.2,78.6,5.39,18.7,103.5,8.4,5.0
37.0,38.6,5.6,11.2,115.0,5.6,5.0
31.9,39.3,5.55,14.0,113.4,5.0,5.0
35.6,41.0,5.79,21.5,144.9,5.4,5.0
38.3,71.4,5.28,12.9,135.9,5.9,5.0
31.0,91.6,5.29,17.1,113.3,5.0,5.0
35.5,44.5,4.81,10.0,52.5,5.0,5.0
35.6,86.0,5.09,13.2,143.1,5.0,5.0
37.0,58.1,5.58,22.6,181.9,12.9,8.9
31.9,51.3,5.74,26.9,165.4,5.0,5.0
31.7,49.1,5.45,31.6,197.2,5.4,5.0
36.3,79.3,5.8,11.1,70.9,6.2,5.0
35.7,64.3,5.15,17.5,83.4,6.2,5.0
35.6,96.0,5.31,24.1,130.9,5.0,5.0
35.9,35.7,5.24,13.8,85.4,8.7,5.0
33.3,70.7,5.58,10.0,55.2,6.2,5.0
35.6,41.9,5.55,17.2,110.3,5.0,5.0
35.7,35.4,5.25,13.2,93.1,7.2,5.0
33.2,54.3,5.89,10.0,89.6,12.4,5.0
39.7,58.5,5.51,34.6,193.0,5.0,5.0
36.2,96.0,5.05,14.9,85.8,5.0,5.0
32.0,49.8,5.14,10.0,69.4,5.7,5.0
36.6,31.0,5.53,17.5,68.8,5.3,5.0
32.6,62.6,4.81,22.7,170.9,7.6,5.0
37.0,24.0,5.84,23.0,157.2,5.0,5.0
37.9,52.1,5.51,15.5,69.4,5.0,5.0
32.9,55.0,5.49,13.5,83.0,5.0,5.0
37.4,81.2,5.27,31.0,162.1,5.2,5.0
36.0,88.8,5.41,11.9,91.2,5.5,5.0
37.1,42.4,5.36,38.0,197.2,5.0,5.0
39.7,50.6,5.73,15.8,131.1,5.0,5.0
34.4,37.2,5.26,18.4,78.8,5.0,5.0
33.1,31.1,5.06,15.5,178.8,5.0,5.0
32.8,63.7,5.25,10.0,97.9,5.0,5.0
33.0,28.9,5.5,15.5,93.3,5.0,5.0
34.8,44.4,5.29,12.9,99.1,6.1,5.0
35.9,33.2,5.15,24.4,165.2,7.8,5.0
35.7,71.9,5.08,11.6,76.0,5.0,5.0
37.1,96.0,5.41,10.1,107.3,5.0,5.0
35.0,28.5,5.36,10.0,54.6,5.0,5.0
38.6,24.0,5.23,27.3,174.0,5.0,5.0
34.3,51.3,5.59,11.8,101.1,5.0,5.0
40.0,55.0,5.12,19.8,87.2,5.0,5.0
36.6,60.9,5.55,19.6,137.0,5.0,5.0
32.9,43.7,5.66,27.0,155.7,6.1,5.0
32.3,49.4,5.4,28.0,171.9,6.3,5.0
36.2,65.6,5.02,12.3,102.2,5.7,5.0
34.4,91.9,5.36,15.9,171.8,5.0,5.0
36.8,24.0,5.44,23.9,119.7,5.0,5.0
36.2,45.4,5.55,10.0,65.2,5.9,5.0
34.8,60.8,5.06,24.5,176.9,5.3,5.0
32.9,34.5,5.65,19.1,132.1,5.5,5.0
31.2,96.0,5.78,20.8,140.4,12.9,5.0
33.9,39.7,5.06,33.4,190.6,7.2,6.2
37.1,53.5,5.15,20.1,133.9,5.0,5.0
35.5,72.1,5.3,10.0,50.8,8.4,5.0
31.9,40.6,5.14,32.2,180.6,5.8,5.0
35.4,24.0,5.13,16.9,92.7,7.0,5.0
36.0,44.1,5.62,15.1,125.3,5.1,5.0
32.8,91.4,5.06,10.0,80.7,5.0,5.0
35.4,46.1,5.74,10.1,94.5,5.0,5.0
35.1,35.8,5.15,22.7,153.0,6.0,5.0
32.1,86.7,5.6,10.9,114.4,5.0,5.0
35.9,46.3,4.93,22.1,144.1,6.5,5.0
36.4,42.3,5.43,25.4,173.5,5.0,5.0
37.7,58.8,5.76,10.0,101.1,12.9,5.0
37.6,80.3,5.37,13.3,135.3,5.9,5.0
31.6,96.0,5.06,10.6,166.6,5.0,5.0
32.7,82.6,5.07,21.9,157.3,5.3,5.0
36.3,96.0,5.15,25.0,131.0,5.0,5.0
36.3,42.4,5.82,10.0,107.5,8.9,5.0
36.3,32.7,5.87,10.1,111.1,5.0,5.0
40.0,56.3,5.28,16.4,115.0,11.3,9.5
36.4,57.6,5.24,10.0,102.3,9.2,5.0
37.8,31.8,5.22,17.9,154.9,5.0,5.0
37.4,50.0,5.44,13.0,68.8,5.0,5.0
36.6,66.7,5.56,26.8,195.1,5.0,5.0
34.2,65.4,5.86,17.6,166.8,10.3,5.0
36.9,70.3,5.32,10.0,94.7,5.0,5.0
33.1,63.1,5.62,19.5,56.4,5.0,5.0
34.4,42.4,5.37,29.1,156.7,8.4,6.12
33.8,42.2,5.5,21.8,160.2,7.5,5.0
35.2,30.0,5.19,29.6,194.5,6.9,6.05
40.0,96.0,5.4,10.8,88.1,12.1,6.58
30.3,55.0,5.57,11.9,62.4,6.7,5.0
36.7,48.8,5.58,23.8,187.3,9.2,5.28
31.0,34.3,5.6,10.6,88.8,5.0,5.0
33.8,96.0,5.58,26.0,158.2,6.2,5.0
37.7,31.9,5.4,16.1,59.1,8.9,5.0
35.2,44.1,5.61,28.3,164.1,5.0,5.0
32.3,67.2,5.31,16.5,69.1,5.0,5.0
33.2,73.7,5.5,21.6,154.3,5.0,5.0
36.7,88.1,5.41,16.4,129.9,10.5,5.13
33.2,96.0,5.49,19.3,193.3,5.6,5.0
35.5,70.3,5.5,10.0,55.5,5.0,5.0
35.1,32.2,5.18,16.0,93.8,5.0,5.0
33.4,48.0,5.44,10.0,60.4,5.0,5.0
40.0,63.7,5.55,23.4,181.9,5.0,5.0
36.6,96.0,5.15,27.1,139.1,9.1,8.36
30.0,27.1,5.49,22.7,130.2,7.9,5.0
35.5,96.0,5.69,17.0,69.7,5.0,5.0
33.3,59.7,5.52,13.7,123.4,5.0,5.0
37.1,83.0,5.16,12.9,109.8,5.0,5.0
33.0,51.9,5.2,20.6,97.4,7.5,5.0
34.7,35.8,5.44,24.6,165.8,5.3,5.0
36.3,79.5,5.9,10.0,59.2,5.0,5.0
37.2,75.7,5.42,19.6,147.0,11.3,9.3
32.0,88.8,5.32,26.0,173.4,11.4,10.37
34.2,54.2,5.51,32.9,186.1,5.0,5.0
33.8,40.5,5.37,23.5,161.9,9.7,6.21
33.4,25.0,5.34,17.8,92.4,5.0,5.0
39.4,82.2,5.33,23.3,140.1,7.0,5.49
36.0,67.5,5.41,10.0,71.2,5.0,5.0
31.8,33.7,5.79,10.0,67.6,5.0,5.0
37.3,41.7,5.52,19.6,145.8,5.0,5.0
40.0,43.2,5.06,20.0,177.7,8.9,7.49
37.6,26.0,5.56,10.0,60.1,5.0,5.0
31.2,36.3,5.85,17.5,65.9,6.9,5.0
33.8,31.0,5.71,20.1,134.8,6.2,5.0
38.2,44.4,5.44,10.0,82.7,9.2,5.0
33.2,37.7,5.03,30.8,141.8,5.0,5.0
36.1,24.2,5.71,10.0,82.2,9.3,5.0
36.9,96.0,5.63,10.0,67.5,8.9,5.0
32.7,96.0,4.83,25.9,131.8,5.0,5.0
34.9,37.0,5.62,30.2,179.3,7.3,5.0
30.0,62.6,5.17,22.3,152.8,5.0,5.0
32.4,67.3,5.12,30.1,172.8,5.0,5.0
34.4,96.0,5.37,15.0,90.0,5.0,5.0
31.9,36.3,5.48,21.5,182.9,5.0,5.0
39.1,94.3,5.26,10.0,106.6,6.8,5.0
31.4,41.5,5.74,23.8,177.9,5.0,5.0
33.9,28.0,5.55,23.5,120.7,9.5,5.0
35.3,78.4,5.22,11.4,90.2,5.0,5.0
38.6,96.0,5.67,15.7,89.0,8.6,5.0
31.4,96.0,5.58,21.2,135.2,5.0,5.0
37.9,30.0,5.35,10.0,61.9,5.8,5.0
35.0,77.4,5.36,26.4,189.5,5.0,5.0
32.5,44.5,5.68,15.4,90.7,5.0,5.0
36.2,80.8,5.31,11.1,100.3,5.8,5.0
35.5,26.2,5.8,10.9,85.0,6.6,5.0
33.5,29.0,5.31,10.0,50.5,6.8,5.0
35.2,37.0,5.43,23.4,153.9,6.2,5.0
34.0,56.8,5.47,26.0,138.6,10.2,7.78
35.3,39.6,5.36,27.6,171.4,5.0,5.0
36.7,75.9,5.2,10.0,56.2,5.0,5.0
39.0,91.2,4.98,26.0,189.3,11.2,13.72
31.9,73.7,5.56,15.0,99.6,6.2,5.0
40.0,96.0,5.6,34.7,187.0,9.1,8.78
30.1,67.2,5.81,10.0,66.1,5.0,5.0
34.6,29.7,5.74,15.6,161.6,5.8,5.0
36.5,96.0,5.24,22.7,136.9,5.0,5.0
35.7,40.3,5.37,11.8,103.7,7.0,5.0
33.4,86.1,5.34,10.0,61.9,6.2,5.0
34.5,96.0,5.39,21.2,140.7,11.1,7.95
33.8,68.6,5.49,13.0,54.0,5.5,5.0
33.5,25.8,5.71,15.9,125.2,9.3,5.0
37.1,34.5,5.18,23.6,140.6,7.8,6.62
35.9,96.0,4.91,27.4,159.9,5.0,5.0
33.3,50.2,5.68,33.8,198.7,6.3,5.0
37.2,56.8,5.58,10.0,89.0,10.4,5.0
35.8,79.8,5.23,10.0,98.4,18.3,8.0
37.0,77.3,5.3,10.3,101.2,7.8,5.0
36.6,62.8,4.94,27.9,159.7,9.0,7.98
32.9,49.2,5.62,31.8,189.8,7.1,5.0
33.6,46.7,5.5,24.6,196.1,9.7,6.19
36.9,83.8,4.66,39.4,191.9,5.0,5.0
36.5,72.0,5.41,21.9,181.9,6.3,5.0
34.9,48.0,5.16,34.8,198.6,5.5,5.0
35.3,93.8,5.7,23.6,106.4,5.3,5.0
38.2,51.2,5.86,29.4,192.2,6.4,5.0
33.5,35.7,5.71,20.8,164.2,6.1,5.0
36.4,37.4,5.54,10.0,75.3,6.1,5.0
34.5,33.5,5.54,10.0,56.8,5.0,5.0
34.5,47.6,5.51,17.7,82.2,10.3,5.0
37.7,96.0,5.44,19.0,166.8,8.9,6.16
37.1,36.5,5.13,12.5,144.8,5.0,5.0
37.0,60.0,5.28,14.4,83.7,5.0,5.0
38.3,39.3,5.57,27.1,161.3,11.6,9.25
35.1,47.9,4.96,20.5,71.2,5.0,5.0
36.7,25.7,5.45,19.1,173.3,6.8,5.0
34.2,48.9,5.03,24.7,169.1,6.7,5.0
35.8,49.6,5.83,35.2,195.9,5.0,5.0
34.7,71.5,5.42,11.5,72.5,5.0,5.0
35.2,61.0,5.78,26.9,186.0,5.0,5.0
36.5,30.0,5.69,19.1,101.2,6.6,5.0
33.0,93.9,5.46,13.9,112.4,7.2,5.0
40.0,60.7,5.31,22.3,120.3,5.0,5.0
32.5,60.3,5.31,15.3,144.0,7.5,5.0
32.0,54.3,5.35,22.3,199.2,5.4,5.0
37.9,42.1,5.64,19.6,140.0,6.7,5.0
37.0,60.9,5.49,15.5,189.0,5.0,5.0
36.6,69.3,5.85,13.7,88.3,5.5,5.0
36.6,24.0,5.54,10.0,109.8,5.9,5.0
35.0,41.7,4.79,20.3,125.7,7.6,5.0
32.8,48.1,5.82,15.7,98.4,8.0,5.0
35.2,62.1,5.64,29.1,196.5,5.0,5.0
33.3,96.0,5.64,26.0,158.9,5.0,5.0
37.4,37.1,5.61,19.3,121.8,5.0,5.0
34.6,42.6,5.31,22.9,162.7,13.1,12.43
32.9,42.3,5.62,27.2,120.1,5.0,5.0
34.2,36.6,5.26,10.0,52.6,5.0,5.0
36.0,45.9,4.92,23.6,131.5,5.0,5.0
33.6,80.3,5.39,26.9,143.8,14.2,13.34
32.9,32.2,5.37,32.9,197.2,5.0,5.0
35.6,67.6,5.45,18.7,56.1,5.0,5.0
35.6,24.0,5.55,19.9,126.8,8.0,5.0
33.7,41.2,5.23,10.0,64.7,9.3,5.0
33.8,46.3,5.4,10.0,72.3,5.0,5.0
35.6,96.0,5.19,20.0,141.6,5.0,5.0
31.4,47.6,5.6,10.0,84.7,5.0,5.0
31.5,24.0,5.61,27.7,162.4,6.9,5.0
33.2,24.0,5.63,14.5,127.1,5.6,5.0
34.5,55.5,5.27,12.8,82.7,8.8,5.03
35.8,74.2,5.13,21.4,124.1,7.2,5.0
38.7,65.9,5.23,10.0,50.1,7.7,5.0
37.1,59.4,5.53,22.4,179.4,8.1,5.0
34.6,96.0,5.43,11.3,51.9,7.2,5.0
35.0,41.7,5.22,10.0,51.1,6.0,5.0
32.5,85.4,5.06,10.0,141.7,6.4,5.0
35.0,24.1,5.54,24.5,196.0,7.9,5.0
34.3,34.7,5.51,33.8,178.4,5.0,5.0
35.8,24.0,5.5,20.6,87.8,10.9,5.07
32.9,47.6,5.9,14.6,79.5,5.0,5.0
36.3,53.3,5.29,25.5,143.9,5.0,5.0
38.8,57.8,5.33,22.1,173.4,5.0,5.0
34.7,56.3,5.67,14.3,104.3,5.0,5.0
36.0,34.3,5.42,23.4,114.9,5.4,5.0
36.7,49.6,5.27,12.2,67.3,5.4,5.0
34.0,25.8,5.29,11.3,72.9,5.0,5.0
35.6,96.0,5.11,19.4,135.3,5.0,5.0
35.0,46.9,5.44,15.7,65.4,6.3,5.0
35.2,42.8,5.47,17.7,80.3,8.8,5.0
33.1,96.0,5.56,16.0,85.2,5.0,5.0
35.1,29.3,5.49,17.8,116.6,5.0,5.0
36.2,31.1,5.78,10.0,56.8,5.0,5.0
38.6,31.6,5.23,22.2,125.0,5.0,5.0
37.4,52.8,5.34,22.9,189.3,5.0,5.0
40.0,67.7,5.48,10.0,53.7,7.5,5.0
33.1,79.0,5.52,14.4,144.6,5.0,5.0
37.2,96.0,5.83,32.5,175.4,7.8,5.0
35.5,24.0,5.39,10.9,96.9,5.9,5.0
40.0,74.0,5.63,12.5,69.7,7.9,5.0
33.0,41.3,5.29,10.0,56.5,8.2,5.0
32.9,40.7,5.55,36.5,146.6,12.8,10.91
33.5,40.0,5.52,22.1,132.8,5.0,5.0
30.0,34.7,5.78,10.0,84.4,7.5,5.0
33.7,96.0,5.58,32.1,174.7,6.2,5.0
33.1,83.2,5.41,22.1,160.3,9.4,5.0
35.4,55.2,5.5,12.7,91.5,5.0,5.0
35.9,96.0,5.49,21.1,163.0,5.0,5.0
39.7,25.6,5.3,14.0,86.7,6.2,5.0
37.4,28.1,5.3,23.6,151.3,5.3,5.0
33.6,24.0,5.47,10.0,67.8,5.0,5.0
32.8,38.5,5.49,20.5,153.8,5.0,5.0
36.2,59.2,5.6,13.4,85.8,10.4,5.0
31.7,57.5,5.02,10.0,135.9,5.0,5.0
39.6,58.8,5.8,10.0,75.9,8.0,5.0
37.9,27.0,5.6,32.2,158.9,5.0,5.0
33.8,81.6,5.23,10.5,59.1,5.0,5.0
30.7,61.5,5.49,10.0,74.8,5.0,5.0
38.4,78.8,5.41,10.0,77.6,5.4,5.0
34.7,24.0,5.82,10.0,56.2,5.0,5.0
38.1,63.8,5.15,29.2,161.8,5.0,5.0
31.0,30.1,5.57,40.0,197.1,13.1,9.83
33.5,44.8,5.6,34.5,166.8,5.0,5.0
35.0,71.3,5.68,22.4,179.1,8.7,5.0
35.1,57.1,4.88,10.0,50.9,8.0,5.0
33.9,35.7,5.68,10.0,67.7,6.2,5.0
36.6,54.8,5.52,15.9,133.9,5.0,5.0
32.3,25.4,5.24,28.4,196.7,5.5,5.0
34.6,96.0,5.22,20.5,149.1,5.0,5.0
35.3,49.3,5.54,26.2,106.1,5.0,5.0
36.3,95.5,5.44,10.0,71.9,5.0,5.0
36.8,42.0,5.47,10.7,72.9,5.0,5.0
32.2,42.0,5.62,10.0,104.4,8.7,5.0
31.2,37.3,5.58,25.2,157.1,10.9,5.0
38.2,84.6,5.75,10.0,54.8,5.0,5.0
35.8,38.3,5.44,32.2,177.8,5.0,5.0
33.1,75.4,5.71,27.2,191.2,8.1,5.0
38.9,45.1,5.22,20.5,183.3,5.0,5.0
35.3,24.0,5.17,17.5,187.0,5.0,5.0
37.9,41.1,5.24,10.0,52.3,5.0,5.0
35.2,30.3,5.72,30.7,196.7,5.0,5.0
40.0,55.5,5.26,17.9,105.0,6.5,5.0
39.4,30.1,5.32,24.6,180.4,9.2,7.94
34.4,86.7,5.01,16.3,78.0,13.7,8.41
37.4,52.2,5.39,11.9,117.0,5.7,5.0
36.6,50.0,5.43,10.0,56.6,5.0,5.0
38.4,75.8,4.87,10.0,56.0,8.1,5.0
32.6,88.4,5.62,35.2,191.5,5.0,5.0
36.7,54.1,5.57,32.2,171.6,5.0,5.0
37.6,37.1,5.37,12.9,129.5,5.0,5.0
30.6,24.0,5.05,16.6,128.8,6.2,5.0
32.0,38.7,5.53,28.0,162.3,7.8,5.0
30.0,40.1,5.51,12.1,101.3,5.0,5.0
34.3,57.6,5.54,25.2,164.3,5.3,5.0
36.8,45.9,5.63,14.8,122.8,9.4,5.0
38.8,77.0,5.29,16.4,145.7,8.0,5.93
35.2,40.2,5.43,24.7,194.7,5.0,5.0
39.1,53.1,5.57,22.9,120.7,5.6,5.0
31.5,96.0,5.55,17.0,112.8,7.1,5.0
30.7,64.8,5.41,34.2,185.9,5.0,5.0
34.9,53.0,5.66,30.4,185.4,5.0,5.0
36.0,40.4,4.88,37.9,198.9,5.0,5.0
34.9,39.8,5.87,24.0,132.6,7.6,5.0
30.0,35.7,5.81,19.0,101.6,5.7,5.0
34.8,41.7,5.67,12.3,86.1,5.0,5.0
31.7,79.7,5.58,23.3,55.1,7.8,5.0
36.7,48.9,5.57,24.4,159.0,17.3,13.95
35.9,27.8,5.18,10.0,85.0,12.2,5.0
32.7,96.0,5.68,22.5,141.0,7.0,5.0
33.7,64.1,5.37,23.2,187.5,6.7,5.0
32.4,27.0,5.64,34.0,192.5,5.0,5.0
34.8,43.8,5.26,11.2,50.7,5.8,5.0
37.4,57.7,5.47,13.7,97.6,5.0,5.0
32.5,96.0,5.7,21.9,175.6,7.2,5.0
36.3,31.4,5.56,20.3,130.5,9.0,5.0
33.7,88.9,5.29,22.5,171.1,5.0,5.0
33.0,96.0,5.45,30.6,178.0,5.0,5.0
34.7,39.9,5.4,20.2,116.4,5.0,5.0
32.4,47.5,5.54,30.3,103.8,5.0,5.0
33.6,32.5,5.93,15.5,118.3,5.3,5.0
32.0,49.3,5.22,20.7,147.9,5.8,5.0
39.9,53.6,5.07,15.0,105.1,5.0,5.0
35.1,75.9,5.32,24.4,166.2,5.0,5.0
33.3,94.2,5.34,33.0,185.6,5.0,5.0
35.5,37.6,5.47,12.5,92.3,5.0,5.0
34.7,24.0,5.7,39.1,194.7,5.0,5.0
34.4,54.0,5.64,24.4,143.4,6.6,5.0
36.5,63.2,4.93,24.8,181.7,5.0,5.0
36.9,61.8,5.24,10.0,65.6,5.0,5.0
33.7,46.4,4.98,18.4,87.7,5.0,5.0
33.6,58.1,5.75,14.9,98.2,6.3,5.0
34.3,96.0,5.17,14.4,95.4,5.0,5.0
30.0,66.1,5.61,10.0,75.8,10.7,5.0
31.2,45.3,5.77,26.7,180.2,6.1,5.0
38.4,42.5,5.18,13.7,112.8,5.0,5.0
39.1,50.2,5.34,36.0,194.5,5.0,5.77
34.4,96.0,5.34,24.2,137.5,6.5,5.0
36.4,49.8,5.73,10.0,70.8,9.8,5.0
35.8,54.1,5.09,18.8,131.9,5.0,5.0
40.0,42.9,5.72,30.3,199.0,9.3,5.0
37.8,94.6,5.35,20.2,134.8,8.1,5.58
34.7,96.0,5.5,10.0,50.3,17.1,5.0
32.6,68.4,5.85,19.0,190.0,5.0,5.0
31.0,56.9,5.5,10.0,85.2,5.9,5.0
35.5,55.6,5.26,22.3,153.3,5.0,5.0
33.1,24.0,5.49,15.4,127.3,11.4,5.0
31.4,79.2,5.36,18.9,98.8,5.0,5.0
33.4,58.4,5.39,12.7,92.4,11.3,5.08
32.3,67.6,5.66,37.8,189.3,5.0,5.0
39.2,38.3,5.58,25.2,186.8,7.6,5.0
37.2,45.0,5.56,19.7,127.0,8.6,5.0
35.0,44.5,5.13,11.9,88.8,5.0,5.0
38.7,91.0,5.79,12.0,65.4,5.0,5.0
35.2,45.2,5.46,16.4,73.5,5.0,5.0
32.8,96.0,5.61,22.3,128.3,5.0,5.0
38.8,67.7,5.18,10.0,96.2,9.0,5.0
36.3,28.9,5.82,10.9,56.3,5.0,5.0
